term,name,definition,category,provenance,provenanceUri,note
1_Methylnaphthalene,1-Methylnaphthalene,"1-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_Methylphenanthrene,1-Methylphenanthrene,"1-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
1_NaphthalenolMethylcarbamate,"1-Naphthalenol methylcarbamate","1-Naphthalenol methylcarbamate (C12H11NO2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_2_DichlorovinylDimethylPhosphate,"2,2-dichlorovinyl dimethyl phosphate","2,2-dichlorovinyl dimethyl phosphate (C4H7Cl2O4P)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_3_4_6_Tetrachlorophenol,"2,3,4,6-Tetrachlorophenol","2,3,4,6-Tetrachlorophenol (C6H2Cl4O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_3_5_Trimethylnaphthalene,"2,3,5-Trimethylnaphthalene","2,3,5-Trimethylnaphthalene (C13H14), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_3_6_Trimethylnaphthalene,"2,3,6-Trimethylnaphthalene","2,3,6-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_3_Dimethylnaphthalene,"2,3-Dimethylnaphthalene","2,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_4_5_Trichlorophenol,"2,4,5-Trichlorophenol","2,4,5-Trichlorophenol (C6H3Cl3O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_4_6_Trichlorophenol,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol (TCP) (C6H2Cl3OH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_4_Dichlorophenol,"2,4-Dichlorophenol","2,4-Dichlorophenol (C6H4Cl2O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_4_Dimethylphenol,"2,4-Dimethylphenol","2,4-Dimethylphenol (C8H10O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_4_Dinitrophenol,"2,4-Dinitrophenol","2,4-Dinitrophenol (C6H4N2O5)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_4_Dinitrotoluene,"2,4-Dinitrotoluene","2,4-Dinitrotoluene (C7H6N2O4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_6_Dichlorophenol,"2,6-Dichlorophenol","2,6-Dichlorophenol (C6H4Cl2O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_6_Dinitrotoluene,"2,6-Dinitrotoluene","2,6-Dinitrotoluene (C7H6N2O4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_7_Dimethylnaphthalene,"2,7-Dimethylnaphthalene","2,7-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Butanone_MEK,"2-Butanone (MEK)","2-Butanone (MEK) (C4H8O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Butoxyethanol,2-Butoxyethanol,"2-Butoxyethanol (CH3(CH2)2CH2OCH2OH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Chloronaphthalene,2-Chloronaphthalene,"2-Chloronaphthalene (C10H7Cl)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Chlorophenol,2-Chlorophenol,"2-Chlorophenol (C6H5ClO)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Hexanone,2-Hexanone,"2-Hexanone (C6H12O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Methylanthracene,2-Methylanthracene,"2-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Methyldibenzothiophene,2-Methyldibenzothiophene,"2-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Methylnaphthalene,2-Methylnaphthalene,"2-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Methylphenanthrene,2-Methylphenanthrene,"2-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Methylphenol,2-Methylphenol,"2-Methylphenol (C7H8O)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Nitroaniline,2-Nitroaniline,"2-Nitroaniline (C6H6N2O2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
2_Nitrophenol,2-Nitrophenol,"2-Nitrophenol (C6H5NO3)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
3_3_Dichlorobenzidine,"3,3-Dichlorobenzidine","3,3-Dichlorobenzidine (C12H10Cl2N2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
3_6_Dimethylphenanthrene,"3,6-Dimethylphenanthrene","3,6-Dimethylphenanthrene (C16H14), a polycyclic aromatic hydrocarbon (PAH)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
3_Nitroaniline,3-Nitroaniline,"3-Nitroaniline (C6H6N2O2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_4_DDD,"4,4-DDD","Dichlorodiphenyldichloroethane (C14H10Cl4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_4_DDE,"4,4-DDE","Dichlorodiphenyldichloroethylene (C14H8Cl4)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_4_DDT,"4,4-DDT","Dichlorodiphenyltrichloroethane (C14H9Cl5)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_4_Methylenebis_2_Chloroaniline,"4,4-Methylenebis(2-chloroaniline)","4,4'-Methylenebis(2-chloroaniline) (C13H12Cl2N2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_4_Methylenebis_N_N_Dimethylaniline,"4,4-Methylenebis(N,N-dimethylaniline)","4,4'-Methylenebis(N,N-dimethylaniline) (C17H22N2)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_6_Dinitro_2_Methylphenol,"4,6-Dinitro-2-methylphenol","4,6-Dinitro-2-methylphenol (C7H6N2O5)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_BromophenylphenylEther,"4-Bromophenylphenyl ether","4-Bromophenylphenyl ether (C12H9BrO)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
4_Chloroaniline,4-Chloroaniline,"4-Chloroaniline (C6H6ClN)",,"Originally from the CUAHSI HIS VariableNameCV.  See: http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=VariableNameCV.",,
